OBJECTID_1,POINT_X,POINT_Y,Bare_SAVI,Bare_NDVI,BARE_GNDVI,Bare_OSAVI
366,-104.998403,40.665766,0.073163,0.102328,0.218447,0.087839
367,-104.998285,40.665766,0.071279,0.099693,0.217307,0.085577
368,-104.998166,40.665766,0.067669,0.094406,0.216124,0.08114
369,-104.998048,40.665766,0.067416,0.093669,0.219536,0.08067
370,-104.99793,40.665766,0.065354,0.091469,0.218459,0.078491
371,-104.997811,40.665766,0.066995,0.093874,0.225679,0.080508
372,-104.997693,40.665766,0.073997,0.103327,0.228669,0.088768
373,-104.997575,40.665766,0.072509,0.10186,0.222004,0.087247
374,-104.997456,40.665766,0.073604,0.104129,0.22571,0.088877
375,-104.997338,40.665766,0.074125,0.105192,0.232628,0.089645
376,-104.99722,40.665766,0.070064,0.099548,0.225416,0.084784
377,-104.997101,40.665766,0.067516,0.095928,0.218923,0.081701
378,-104.996983,40.665766,0.067145,0.094812,0.220948,0.081001
379,-104.996865,40.665766,0.06847,0.096774,0.2167,0.082639
380,-104.996747,40.665766,0.070367,0.099955,0.220884,0.085141
381,-104.996628,40.665766,0.076087,0.108577,0.238532,0.092273
382,-104.99651,40.665766,0.082992,0.119814,0.245205,0.101229
383,-104.996392,40.665766,0.078879,0.115128,0.244161,0.096733
384,-104.999823,40.665676,0.086538,0.123853,0.262887,0.105101
385,-104.999704,40.665676,0.082297,0.11819,0.263432,0.100121
386,-104.999586,40.665676,0.08499,0.121727,0.269891,0.103258
387,-104.999468,40.665676,0.085659,0.123262,0.247555,0.104314
388,-104.999349,40.665676,0.080202,0.115438,0.228805,0.09768
389,-104.999231,40.665676,0.076874,0.108911,0.235088,0.092892
390,-104.999113,40.665676,0.077183,0.108831,0.230693,0.093044
391,-104.998994,40.665676,0.070826,0.099822,0.221178,0.085361
392,-104.998876,40.665676,0.070976,0.100269,0.22167,0.085643
393,-104.998758,40.665676,0.071338,0.100355,0.223704,0.085898
394,-104.998639,40.665676,0.073109,0.102655,0.217391,0.087948
395,-104.998521,40.665676,0.072925,0.102113,0.222656,0.087604
396,-104.998403,40.665676,0.07661,0.106661,0.221528,0.091766
397,-104.998285,40.665676,0.071993,0.09987,0.220144,0.086078
398,-104.998166,40.665676,0.066625,0.092321,0.215554,0.079615
399,-104.998048,40.665676,0.070749,0.097686,0.221163,0.084391
400,-104.99793,40.665676,0.071812,0.098892,0.216038,0.085544
401,-104.997811,40.665676,0.068916,0.095197,0.21619,0.082222
402,-104.997693,40.665676,0.07311,0.100769,0.220066,0.087129
403,-104.997575,40.665676,0.076493,0.105852,0.219165,0.091344
404,-104.997456,40.665676,0.071339,0.09939,0.217769,0.085482
405,-104.997338,40.665676,0.076463,0.10719,0.226185,0.091907
406,-104.99722,40.665676,0.072028,0.100926,0.227518,0.086556
407,-104.997101,40.665676,0.067982,0.095322,0.216071,0.081722
408,-104.996983,40.665676,0.07116,0.099344,0.217644,0.085355
409,-104.996865,40.665676,0.06952,0.096943,0.223575,0.08334
410,-104.996747,40.665676,0.070952,0.098739,0.230395,0.084969
411,-104.996628,40.665676,0.070253,0.099107,0.227318,0.084711
412,-104.99651,40.665676,0.078001,0.111827,0.240883,0.094813
413,-104.996392,40.665676,0.078845,0.113912,0.25118,0.096207
414,-104.999704,40.665586,0.082657,0.11824,0.257084,0.100362
415,-104.999586,40.665586,0.085366,0.122355,0.260331,0.103753
