PH,OM,Nitrate_N,Olsen_P,K,Ca,Mg,Sand,Silt,Clay
8.17378,1.10368,4.8248,4.12148,198.581,4863.09,605.99,49.146,17.5924,32.9523
8.16867,1.05905,5.35042,5.00392,201.933,4859.92,602.322,49.2546,17.4523,33.1664
8.16449,0.983294,5.58839,5.01179,202.612,4893.81,597.818,49.4777,17.3263,33.0953
8.15953,0.961205,6.70161,6.38618,214.667,4886.37,592.531,48.634,18.4905,32.9051
8.15165,1.07011,7.39111,6.85945,215.795,4894.36,589.573,48.4944,18.6341,32.8842
8.14653,1.15971,8.15637,7.18201,217.856,4947.6,593.176,48.3751,18.4469,33.3469
8.14032,1.24038,9.002,7.79317,222.287,4959.43,602.434,48.4953,18.2211,33.4747
8.12775,1.31736,9.71941,8.13816,225.683,5047.82,615.303,48.4287,18.1049,33.7095
8.10996,1.38768,10.5736,8.60894,231.006,5127.97,628.576,48.3743,17.8959,33.6733
8.10618,1.45008,10.9442,8.89506,234.236,5186.76,640.71,48.2111,17.8248,33.7664
8.10139,1.48393,11.6441,9.43173,237.773,5198.38,645.279,48.1614,17.4971,33.9743
8.10604,1.49559,12.3855,9.51199,240.473,5210.02,641.764,48.14,17.3805,34.298
8.11219,1.48529,12.4769,9.76852,240.925,5180.83,634.797,48.4724,16.911,34.4296
8.11264,1.45131,12.3167,9.59018,243.174,5161.32,627.453,48.8992,16.2797,34.5791
8.10907,1.41097,12.5168,9.73096,242.199,5140.56,617.57,49.3249,16.0152,34.5332
8.10447,1.38424,12.3299,9.35931,242.806,5144.85,608.261,49.6885,15.8347,34.3237
8.1022,1.38208,12.2609,9.19211,244.584,5141.21,601.098,50.0381,15.7353,34.1018
8.09828,1.39542,12.81,9.24974,246.392,5114.5,600.342,50.4268,15.4992,34.0163
8.08798,1.42798,13.466,8.76162,249.28,5090.64,604.374,50.8189,15.2542,33.9668
8.07141,1.47886,13.7351,8.78426,251.229,5068.3,612.856,51.2893,15.0184,34.108
8.05569,1.55699,14.8598,9.0472,258.709,5058.54,624.035,51.525,14.8819,34.0531
8.05396,1.62798,15.5344,9.19298,261.809,5045.37,638.304,51.5506,14.9461,34.0352
8.04526,1.67087,16.5299,8.77188,265.759,5017.89,652.063,51.6624,14.962,33.5812
8.02998,1.69982,17.5397,8.698,270.5,4988.53,661.503,51.6804,15.025,33.4837
8.15707,1.16789,4.37579,4.25258,213.247,4951.9,612.958,49.7254,17.0113,33.0799
8.15921,1.15957,4.65706,4.23133,201.349,4899.37,606.61,49.8233,16.9856,32.8061
8.1767,1.12403,4.81764,4.03007,198.69,4866.82,607.775,49.1155,17.6853,32.9016
8.1718,1.07084,4.92369,4.04871,202.043,4887.75,604.932,49.6956,17.2508,32.6904
8.17028,0.990479,6.03158,5.38188,204.533,4884.94,602.298,49.093,18.18,32.5228
8.16007,0.932217,6.47051,5.59774,213.425,4886.97,596.252,48.8059,18.3314,32.8331
8.15262,1.06745,7.02829,6.25373,215.714,4907.41,595.282,48.6121,18.4863,32.9093
8.14867,1.15907,7.74328,6.75438,219.187,4935.32,599.155,48.6968,18.3997,32.9962
8.14237,1.22608,8.71451,7.04487,222.996,4892.98,612.297,48.5879,18.0889,33.545
8.124,1.34202,9.47179,7.55827,227.104,5037.65,626.348,48.5459,17.9338,33.754
8.10889,1.42928,10.1614,7.97772,232.362,5160.55,639.682,48.4554,17.7897,33.6885
8.09781,1.48548,10.3247,8.20448,236.298,5272.53,652.534,48.2341,17.719,33.8156
8.09769,1.50784,11.3769,8.67294,239.789,5236.53,655.361,48.1864,17.4888,34.0781
8.10556,1.50995,11.8667,8.84229,240.898,5229.94,649.451,48.2189,17.2508,34.4367
8.1124,1.4968,12.0085,9.14309,242.232,5228.06,642.291,48.5477,16.7542,34.3457
8.11446,1.44923,11.9535,9.0316,243.544,5205.32,630.03,48.7804,16.3518,34.5291
8.11151,1.39483,11.9345,8.80379,243.006,5200.89,614.101,49.0592,16.2224,34.7366
8.10525,1.35241,12.1058,8.81167,240.173,5227.25,602.443,49.4949,15.8971,34.5303
8.10264,1.35142,11.8954,8.64195,241.934,5216.14,593.159,49.8169,15.8126,34.3278
8.09764,1.3812,12.4566,8.7548,245.473,5141.07,589.669,50.1885,15.6127,34.083
8.08082,1.4086,13.1404,8.3463,246.865,5109.85,592.045,50.6144,15.3826,34.1142
8.07081,1.44169,13.7039,8.39245,250.887,5090.2,600.145,51.0473,15.1674,34.1603
8.05865,1.53239,14.6442,8.6625,255.065,5070.81,613.114,51.1975,15.116,34.1517
8.04832,1.61553,15.4964,8.60112,259.219,5058.31,630.997,51.2933,15.1193,34.0136
8.04394,1.67777,16.2053,8.68241,264.022,5048.67,647.258,51.2095,15.2229,34.0197
8.03091,1.70455,17.8873,8.12819,268.635,4996.71,660.605,51.3193,15.2996,33.6141
8.03047,1.73647,17.7959,8.15304,269.905,4953.84,668.453,50.7225,15.5973,34.0816
8.14042,1.15984,4.39399,4.16598,213.702,4833.21,612.741,49.7564,16.997,33.0878
8.14923,1.16202,4.44456,4.1174,212.55,4905.08,612.03,49.5862,17.2132,33.0481
8.16608,1.15178,4.7859,4.04562,202.891,4902.99,611.247,49.7916,17.1753,32.6504
8.15465,1.09469,4.89175,3.85736,205.545,4910.89,610.252,49.5962,17.3492,33.0279
8.16803,1.0477,5.79113,4.88867,211.188,4885.75,606.362,49.1654,18.0338,32.7637
8.16046,1.04021,6.16077,5.04927,212.596,4904.03,602.635,48.8787,18.2721,32.8711
8.15202,1.11278,6.75772,5.31929,215.489,4953.47,603.578,48.7406,18.3264,32.9115
8.1469,1.1946,7.39049,5.92464,219.459,4976.14,609.368,48.7885,18.1863,33.2567
8.14227,1.27538,8.08238,6.3104,223.642,4954.04,621.744,48.6641,18.1082,33.4111
8.12585,1.39545,9.05426,6.85902,228.872,5079.77,636.387,48.6107,17.9118,33.5468
8.11264,1.49283,9.61243,7.19073,231.601,5203.49,652.853,48.498,17.7027,33.6963
8.1006,1.53866,10.1103,7.60934,233.963,5278.53,663.948,48.3461,17.5508,33.977
8.10247,1.54201,10.9416,7.94943,240.098,5263.73,663.249,48.1997,17.4382,34.2239
8.11218,1.52998,11.3658,8.15524,240.245,5246.59,656.134,48.1412,17.2636,34.5152
8.11562,1.49714,11.4848,8.15178,242.038,5246.9,644.924,48.377,16.7616,34.7151
8.11841,1.43869,11.8706,8.40028,241.657,5227.39,630.323,48.7241,16.4169,34.6174
8.11354,1.37369,11.59,8.11793,240.003,5214.06,612.067,48.8208,16.3819,34.8785
8.10647,1.32515,11.6349,8.0808,240.295,5264.51,595.884,49.2606,16.064,34.7433
8.10032,1.33261,12.0624,8.25958,242.941,5253.62,585.466,49.693,15.8242,34.2832
8.09548,1.37767,12.0389,7.65911,238.6,5168.82,579.322,49.9404,15.6773,34.4254
8.0817,1.41555,12.8088,7.89077,245.748,5120.73,579.838,50.3065,15.5419,34.1933
8.06997,1.45512,13.5941,7.94898,249.117,5114.71,587.901,50.5544,15.4433,34.1707
8.05781,1.51791,14.182,8.03955,250.824,5103.64,602.615,50.9263,15.3644,34.2834
8.04941,1.6006,15.3173,8.09845,254.774,5082.92,621.085,50.8287,15.4538,34.2157
8.04095,1.6891,16.5426,8.15771,261.692,5089.54,638.93,50.7826,15.5158,34.1735
8.03803,1.70755,17.2725,7.96437,263.405,5018.11,653.736,50.5274,15.679,34.4132
8.03288,1.74394,17.9482,8.08394,269.03,4962.37,662.485,50.3584,15.8032,34.1924
8.13347,1.19119,4.30262,3.80288,220.737,4828.46,615.347,50.3581,16.4753,33.1714
8.14127,1.14919,4.34176,3.79035,221.361,4849.99,616.239,50.0146,16.7754,33.0484
8.15288,1.12884,4.60569,3.98502,210.025,4879.65,614.891,49.6819,17.0921,33.0687
8.16007,1.13941,4.68777,3.84983,207.554,4873.55,616.339,49.5256,17.2638,33.1981
8.1584,1.12171,5.33568,4.37222,211.297,4894.12,615.552,49.2949,17.7534,33.1026
8.16362,1.10002,5.5999,4.42013,210.969,4892.69,613.529,49.12,18.0213,32.9019
8.16034,1.10743,5.91729,4.60012,211.891,4912.52,611.089,48.829,18.234,33.0464
8.15163,1.16377,6.27607,4.74207,211.821,4984.64,613.638,48.6054,18.3683,33.3317
8.14328,1.24595,7.01705,5.35124,218.476,5048.56,620.259,48.7869,18.197,33.3005
8.13711,1.3383,7.59551,5.69756,222.361,5050.35,632.959,48.6302,18.1381,33.5369
8.12542,1.45968,8.65122,6.23567,227.806,5145.37,646.953,48.58,17.9212,33.6053
8.11518,1.57368,9.19995,6.66346,233.055,5244.75,660.775,48.4165,17.8767,33.5539
8.10871,1.59718,9.75111,6.98158,234.674,5275.37,670.376,48.2272,17.6015,34.1158
8.11156,1.57449,10.1388,7.25338,236.285,5268.88,669.5,48.0174,17.5845,34.3412
